RANDOM_GENERATION RANDOM_SELECTION CX RANDOM ELITE_PROTECTION ;2026
INSERT_GENERATION ROULETTE_SELECTION CX NEAREST_NEIGHBOUR ELITE_PROTECTION ;3176
INSERT_GENERATION ROULETTE_SELECTION CX2 INVERT RANDOM_ELIMINATING ;2663
INSERT_GENERATION TOURNAMENT_SELECTION PMX NEAREST_NEIGHBOUR RANDOM_ELIMINATING ;3167
RANDOM_GENERATION RANDOM_SELECTION CX2 NEAREST_NEIGHBOUR ELITE_PROTECTION ;2651
TWO_OPT_GENERATION ROULETTE_SELECTION NEAREST_NEIGHBOUR NEAREST_NEIGHBOUR AGE_ELIMINATING ;2038
RANDOM_GENERATION RANDOM_SELECTION OX NEAREST_NEIGHBOUR AGE_ELIMINATING ;3510
HYBRID_TWO_OPT_AND_RANDOM RANDOM_SELECTION PMX INVERT AGE_ELIMINATING ;2020
HYBRID_TWO_OPT_AND_RANDOM ROULETTE_SELECTION OX NEAREST_NEIGHBOUR RANDOM_ELIMINATING ;3194
HYBRID_TWO_OPT_AND_RANDOM ROULETTE_SELECTION NEAREST_NEIGHBOUR NEAREST_NEIGHBOUR AGE_ELIMINATING ;2038
INSERT_GENERATION TOURNAMENT_SELECTION OX RANDOM RANDOM_ELIMINATING ;2486
RANDOM_GENERATION RANDOM_SELECTION OX INVERT RANDOM_ELIMINATING ;2232
INSERT_GENERATION ROULETTE_SELECTION CX INVERT RANDOM_ELIMINATING ;2031
TWO_OPT_GENERATION TOURNAMENT_SELECTION OX RANDOM AGE_ELIMINATING ;2020
INSERT_GENERATION TOURNAMENT_SELECTION CX2 INSERT RANDOM_ELIMINATING ;3090
HYBRID_TWO_OPT_AND_RANDOM ROULETTE_SELECTION OX INSERT AGE_ELIMINATING ;2020
HYBRID_TWO_OPT_AND_RANDOM ROULETTE_SELECTION OX NEAREST_NEIGHBOUR ELITE_PROTECTION ;3023
INSERT_GENERATION RANDOM_SELECTION OX NEAREST_NEIGHBOUR AGE_ELIMINATING ;2735
INSERT_GENERATION ROULETTE_SELECTION CX2 NEAREST_NEIGHBOUR ELITE_PROTECTION ;3170
TWO_OPT_GENERATION TOURNAMENT_SELECTION NEAREST_NEIGHBOUR NEAREST_NEIGHBOUR AGE_ELIMINATING ;2040
INSERT_GENERATION TOURNAMENT_SELECTION CX INVERT RANDOM_ELIMINATING ;2039
RANDOM_GENERATION TOURNAMENT_SELECTION NEAREST_NEIGHBOUR INVERT AGE_ELIMINATING ;2020
INSERT_GENERATION RANDOM_SELECTION CX RANDOM RANDOM_ELIMINATING ;2467
HYBRID_TWO_OPT_AND_RANDOM TOURNAMENT_SELECTION PMX INSERT AGE_ELIMINATING ;2020
HYBRID_TWO_OPT_AND_RANDOM ROULETTE_SELECTION PMX NEAREST_NEIGHBOUR AGE_ELIMINATING ;2722
TWO_OPT_GENERATION TOURNAMENT_SELECTION PMX INVERT RANDOM_ELIMINATING ;2910
HYBRID_TWO_OPT_AND_RANDOM RANDOM_SELECTION OX INSERT ELITE_PROTECTION ;2034
RANDOM_GENERATION RANDOM_SELECTION CX2 RANDOM RANDOM_ELIMINATING ;3064
INSERT_GENERATION RANDOM_SELECTION CX INVERT AGE_ELIMINATING ;2020
INSERT_GENERATION RANDOM_SELECTION OX NEAREST_NEIGHBOUR RANDOM_ELIMINATING ;2925
HYBRID_TWO_OPT_AND_RANDOM RANDOM_SELECTION CX RANDOM RANDOM_ELIMINATING ;2422
TWO_OPT_GENERATION ROULETTE_SELECTION NEAREST_NEIGHBOUR INSERT RANDOM_ELIMINATING ;2020
TWO_OPT_GENERATION TOURNAMENT_SELECTION PMX RANDOM AGE_ELIMINATING ;2020
TWO_OPT_GENERATION RANDOM_SELECTION OX INSERT RANDOM_ELIMINATING ;2421
INSERT_GENERATION RANDOM_SELECTION OX INVERT AGE_ELIMINATING ;2020
HYBRID_TWO_OPT_AND_RANDOM TOURNAMENT_SELECTION PMX NEAREST_NEIGHBOUR ELITE_PROTECTION ;2332
RANDOM_GENERATION RANDOM_SELECTION OX INSERT ELITE_PROTECTION ;2026
INSERT_GENERATION RANDOM_SELECTION NEAREST_NEIGHBOUR INVERT ELITE_PROTECTION ;2020
HYBRID_TWO_OPT_AND_RANDOM ROULETTE_SELECTION OX INSERT ELITE_PROTECTION ;2071
TWO_OPT_GENERATION TOURNAMENT_SELECTION NEAREST_NEIGHBOUR INVERT ELITE_PROTECTION ;2020
TWO_OPT_GENERATION RANDOM_SELECTION CX INSERT ELITE_PROTECTION ;2034
HYBRID_TWO_OPT_AND_RANDOM ROULETTE_SELECTION OX RANDOM ELITE_PROTECTION ;2020
TWO_OPT_GENERATION TOURNAMENT_SELECTION PMX INSERT ELITE_PROTECTION ;2020
HYBRID_TWO_OPT_AND_RANDOM ROULETTE_SELECTION PMX INSERT RANDOM_ELIMINATING ;2728
RANDOM_GENERATION TOURNAMENT_SELECTION CX2 NEAREST_NEIGHBOUR ELITE_PROTECTION ;3604
HYBRID_TWO_OPT_AND_RANDOM TOURNAMENT_SELECTION CX NEAREST_NEIGHBOUR AGE_ELIMINATING ;2980
HYBRID_TWO_OPT_AND_RANDOM TOURNAMENT_SELECTION PMX INVERT RANDOM_ELIMINATING ;2731
TWO_OPT_GENERATION TOURNAMENT_SELECTION CX2 NEAREST_NEIGHBOUR AGE_ELIMINATING ;3126
HYBRID_TWO_OPT_AND_RANDOM RANDOM_SELECTION OX NEAREST_NEIGHBOUR ELITE_PROTECTION ;2991
INSERT_GENERATION RANDOM_SELECTION NEAREST_NEIGHBOUR RANDOM ELITE_PROTECTION ;2020
INSERT_GENERATION ROULETTE_SELECTION OX INSERT ELITE_PROTECTION ;2026
HYBRID_TWO_OPT_AND_RANDOM TOURNAMENT_SELECTION NEAREST_NEIGHBOUR INSERT AGE_ELIMINATING ;2020
TWO_OPT_GENERATION ROULETTE_SELECTION OX NEAREST_NEIGHBOUR RANDOM_ELIMINATING ;2950
INSERT_GENERATION TOURNAMENT_SELECTION CX2 INVERT AGE_ELIMINATING ;2020
TWO_OPT_GENERATION RANDOM_SELECTION NEAREST_NEIGHBOUR NEAREST_NEIGHBOUR ELITE_PROTECTION ;2047
HYBRID_TWO_OPT_AND_RANDOM ROULETTE_SELECTION NEAREST_NEIGHBOUR INVERT RANDOM_ELIMINATING ;2020
TWO_OPT_GENERATION TOURNAMENT_SELECTION CX INVERT ELITE_PROTECTION ;2026
HYBRID_TWO_OPT_AND_RANDOM ROULETTE_SELECTION CX2 RANDOM ELITE_PROTECTION ;2034
RANDOM_GENERATION ROULETTE_SELECTION CX2 RANDOM RANDOM_ELIMINATING ;3187
HYBRID_TWO_OPT_AND_RANDOM RANDOM_SELECTION NEAREST_NEIGHBOUR INVERT AGE_ELIMINATING ;2020
TWO_OPT_GENERATION TOURNAMENT_SELECTION CX RANDOM ELITE_PROTECTION ;2020
INSERT_GENERATION RANDOM_SELECTION CX RANDOM AGE_ELIMINATING ;2020
INSERT_GENERATION RANDOM_SELECTION OX RANDOM RANDOM_ELIMINATING ;2284
HYBRID_TWO_OPT_AND_RANDOM ROULETTE_SELECTION PMX RANDOM AGE_ELIMINATING ;2020
RANDOM_GENERATION ROULETTE_SELECTION OX INSERT RANDOM_ELIMINATING ;2020
INSERT_GENERATION TOURNAMENT_SELECTION OX INVERT RANDOM_ELIMINATING ;2306
TWO_OPT_GENERATION TOURNAMENT_SELECTION CX NEAREST_NEIGHBOUR RANDOM_ELIMINATING ;2989
TWO_OPT_GENERATION ROULETTE_SELECTION CX2 RANDOM ELITE_PROTECTION ;2020
INSERT_GENERATION TOURNAMENT_SELECTION OX INSERT RANDOM_ELIMINATING ;2452
INSERT_GENERATION RANDOM_SELECTION NEAREST_NEIGHBOUR NEAREST_NEIGHBOUR ELITE_PROTECTION ;2038
HYBRID_TWO_OPT_AND_RANDOM TOURNAMENT_SELECTION NEAREST_NEIGHBOUR NEAREST_NEIGHBOUR ELITE_PROTECTION ;2040
TWO_OPT_GENERATION ROULETTE_SELECTION CX2 RANDOM AGE_ELIMINATING ;2020
RANDOM_GENERATION TOURNAMENT_SELECTION OX INVERT AGE_ELIMINATING ;2020
HYBRID_TWO_OPT_AND_RANDOM TOURNAMENT_SELECTION CX RANDOM ELITE_PROTECTION ;2020
HYBRID_TWO_OPT_AND_RANDOM TOURNAMENT_SELECTION CX2 INVERT AGE_ELIMINATING ;2020
TWO_OPT_GENERATION ROULETTE_SELECTION NEAREST_NEIGHBOUR INSERT AGE_ELIMINATING ;2020
INSERT_GENERATION TOURNAMENT_SELECTION PMX INVERT ELITE_PROTECTION ;2020
HYBRID_TWO_OPT_AND_RANDOM RANDOM_SELECTION NEAREST_NEIGHBOUR NEAREST_NEIGHBOUR RANDOM_ELIMINATING ;2066
TWO_OPT_GENERATION RANDOM_SELECTION OX NEAREST_NEIGHBOUR RANDOM_ELIMINATING ;2918
TWO_OPT_GENERATION RANDOM_SELECTION OX RANDOM ELITE_PROTECTION ;2026
INSERT_GENERATION ROULETTE_SELECTION PMX INVERT AGE_ELIMINATING ;2020
HYBRID_TWO_OPT_AND_RANDOM ROULETTE_SELECTION PMX INVERT AGE_ELIMINATING ;2020
HYBRID_TWO_OPT_AND_RANDOM RANDOM_SELECTION OX RANDOM RANDOM_ELIMINATING ;2336
INSERT_GENERATION TOURNAMENT_SELECTION PMX INSERT RANDOM_ELIMINATING ;2659
TWO_OPT_GENERATION ROULETTE_SELECTION CX2 INVERT RANDOM_ELIMINATING ;2833
TWO_OPT_GENERATION RANDOM_SELECTION NEAREST_NEIGHBOUR INSERT RANDOM_ELIMINATING ;2031
INSERT_GENERATION ROULETTE_SELECTION NEAREST_NEIGHBOUR INSERT ELITE_PROTECTION ;2020
TWO_OPT_GENERATION ROULETTE_SELECTION CX2 INSERT RANDOM_ELIMINATING ;3056
RANDOM_GENERATION TOURNAMENT_SELECTION OX INSERT RANDOM_ELIMINATING ;2600
TWO_OPT_GENERATION TOURNAMENT_SELECTION CX INSERT ELITE_PROTECTION ;2143
HYBRID_TWO_OPT_AND_RANDOM TOURNAMENT_SELECTION NEAREST_NEIGHBOUR INVERT ELITE_PROTECTION ;2020
TWO_OPT_GENERATION TOURNAMENT_SELECTION CX2 RANDOM ELITE_PROTECTION ;2020
HYBRID_TWO_OPT_AND_RANDOM TOURNAMENT_SELECTION PMX INSERT RANDOM_ELIMINATING ;2771
RANDOM_GENERATION ROULETTE_SELECTION CX2 INVERT AGE_ELIMINATING ;2020
HYBRID_TWO_OPT_AND_RANDOM TOURNAMENT_SELECTION CX2 INVERT ELITE_PROTECTION ;2020
RANDOM_GENERATION ROULETTE_SELECTION PMX INSERT ELITE_PROTECTION ;2020
HYBRID_TWO_OPT_AND_RANDOM TOURNAMENT_SELECTION CX2 RANDOM ELITE_PROTECTION ;2020
HYBRID_TWO_OPT_AND_RANDOM ROULETTE_SELECTION CX2 INVERT RANDOM_ELIMINATING ;2686
RANDOM_GENERATION TOURNAMENT_SELECTION OX INVERT RANDOM_ELIMINATING ;2334
RANDOM_GENERATION ROULETTE_SELECTION OX RANDOM RANDOM_ELIMINATING ;2020
