RANDOM_GENERATION RANDOM_SELECTION CX RANDOM ELITE_PROTECTION ;30658
INSERT_GENERATION ROULETTE_SELECTION CX NEAREST_NEIGHBOUR ELITE_PROTECTION ;175292
INSERT_GENERATION ROULETTE_SELECTION CX2 INVERT RANDOM_ELIMINATING ;172199
INSERT_GENERATION TOURNAMENT_SELECTION PMX NEAREST_NEIGHBOUR RANDOM_ELIMINATING ;168215
RANDOM_GENERATION RANDOM_SELECTION CX2 NEAREST_NEIGHBOUR ELITE_PROTECTION ;280594
TWO_OPT_GENERATION ROULETTE_SELECTION NEAREST_NEIGHBOUR NEAREST_NEIGHBOUR AGE_ELIMINATING ;32300
RANDOM_GENERATION RANDOM_SELECTION OX NEAREST_NEIGHBOUR AGE_ELIMINATING ;289163
HYBRID_TWO_OPT_AND_RANDOM RANDOM_SELECTION PMX INVERT AGE_ELIMINATING ;30480
HYBRID_TWO_OPT_AND_RANDOM ROULETTE_SELECTION OX NEAREST_NEIGHBOUR RANDOM_ELIMINATING ;138968
HYBRID_TWO_OPT_AND_RANDOM ROULETTE_SELECTION NEAREST_NEIGHBOUR NEAREST_NEIGHBOUR AGE_ELIMINATING ;31672
INSERT_GENERATION TOURNAMENT_SELECTION OX RANDOM RANDOM_ELIMINATING ;164850
RANDOM_GENERATION RANDOM_SELECTION OX INVERT RANDOM_ELIMINATING ;97476
INSERT_GENERATION ROULETTE_SELECTION CX INVERT RANDOM_ELIMINATING ;32231
TWO_OPT_GENERATION TOURNAMENT_SELECTION OX RANDOM AGE_ELIMINATING ;36633
INSERT_GENERATION TOURNAMENT_SELECTION CX2 INSERT RANDOM_ELIMINATING ;172393
HYBRID_TWO_OPT_AND_RANDOM ROULETTE_SELECTION OX INSERT AGE_ELIMINATING ;57470
HYBRID_TWO_OPT_AND_RANDOM ROULETTE_SELECTION OX NEAREST_NEIGHBOUR ELITE_PROTECTION ;140750
INSERT_GENERATION RANDOM_SELECTION OX NEAREST_NEIGHBOUR AGE_ELIMINATING ;169964
INSERT_GENERATION ROULETTE_SELECTION CX2 NEAREST_NEIGHBOUR ELITE_PROTECTION ;173319
TWO_OPT_GENERATION TOURNAMENT_SELECTION NEAREST_NEIGHBOUR NEAREST_NEIGHBOUR AGE_ELIMINATING ;32886
INSERT_GENERATION TOURNAMENT_SELECTION CX INVERT RANDOM_ELIMINATING ;35507
RANDOM_GENERATION TOURNAMENT_SELECTION NEAREST_NEIGHBOUR INVERT AGE_ELIMINATING ;31288
INSERT_GENERATION RANDOM_SELECTION CX RANDOM RANDOM_ELIMINATING ;164689
HYBRID_TWO_OPT_AND_RANDOM TOURNAMENT_SELECTION PMX INSERT AGE_ELIMINATING ;60596
HYBRID_TWO_OPT_AND_RANDOM ROULETTE_SELECTION PMX NEAREST_NEIGHBOUR AGE_ELIMINATING ;140875
TWO_OPT_GENERATION TOURNAMENT_SELECTION PMX INVERT RANDOM_ELIMINATING ;137339
HYBRID_TWO_OPT_AND_RANDOM RANDOM_SELECTION OX INSERT ELITE_PROTECTION ;40605
RANDOM_GENERATION RANDOM_SELECTION CX2 RANDOM RANDOM_ELIMINATING ;271464
INSERT_GENERATION RANDOM_SELECTION CX INVERT AGE_ELIMINATING ;30581
INSERT_GENERATION RANDOM_SELECTION OX NEAREST_NEIGHBOUR RANDOM_ELIMINATING ;173913
HYBRID_TWO_OPT_AND_RANDOM RANDOM_SELECTION CX RANDOM RANDOM_ELIMINATING ;136053
TWO_OPT_GENERATION ROULETTE_SELECTION NEAREST_NEIGHBOUR INSERT RANDOM_ELIMINATING ;31915
TWO_OPT_GENERATION TOURNAMENT_SELECTION PMX RANDOM AGE_ELIMINATING ;37814
TWO_OPT_GENERATION RANDOM_SELECTION OX INSERT RANDOM_ELIMINATING ;133006
INSERT_GENERATION RANDOM_SELECTION OX INVERT AGE_ELIMINATING ;30085
HYBRID_TWO_OPT_AND_RANDOM TOURNAMENT_SELECTION PMX NEAREST_NEIGHBOUR ELITE_PROTECTION ;134075
RANDOM_GENERATION RANDOM_SELECTION OX INSERT ELITE_PROTECTION ;43326
INSERT_GENERATION RANDOM_SELECTION NEAREST_NEIGHBOUR INVERT ELITE_PROTECTION ;29525
HYBRID_TWO_OPT_AND_RANDOM ROULETTE_SELECTION OX INSERT ELITE_PROTECTION ;44925
TWO_OPT_GENERATION TOURNAMENT_SELECTION NEAREST_NEIGHBOUR INVERT ELITE_PROTECTION ;29694
TWO_OPT_GENERATION RANDOM_SELECTION CX INSERT ELITE_PROTECTION ;45106
HYBRID_TWO_OPT_AND_RANDOM ROULETTE_SELECTION OX RANDOM ELITE_PROTECTION ;31775
TWO_OPT_GENERATION TOURNAMENT_SELECTION PMX INSERT ELITE_PROTECTION ;39716
HYBRID_TWO_OPT_AND_RANDOM ROULETTE_SELECTION PMX INSERT RANDOM_ELIMINATING ;140086
RANDOM_GENERATION TOURNAMENT_SELECTION CX2 NEAREST_NEIGHBOUR ELITE_PROTECTION ;277641
HYBRID_TWO_OPT_AND_RANDOM TOURNAMENT_SELECTION CX NEAREST_NEIGHBOUR AGE_ELIMINATING ;139660
HYBRID_TWO_OPT_AND_RANDOM TOURNAMENT_SELECTION PMX INVERT RANDOM_ELIMINATING ;143116
TWO_OPT_GENERATION TOURNAMENT_SELECTION CX2 NEAREST_NEIGHBOUR AGE_ELIMINATING ;140020
HYBRID_TWO_OPT_AND_RANDOM RANDOM_SELECTION OX NEAREST_NEIGHBOUR ELITE_PROTECTION ;137046
INSERT_GENERATION RANDOM_SELECTION NEAREST_NEIGHBOUR RANDOM ELITE_PROTECTION ;29506
INSERT_GENERATION ROULETTE_SELECTION OX INSERT ELITE_PROTECTION ;44156
HYBRID_TWO_OPT_AND_RANDOM TOURNAMENT_SELECTION NEAREST_NEIGHBOUR INSERT AGE_ELIMINATING ;32859
TWO_OPT_GENERATION ROULETTE_SELECTION OX NEAREST_NEIGHBOUR RANDOM_ELIMINATING ;137192
INSERT_GENERATION TOURNAMENT_SELECTION CX2 INVERT AGE_ELIMINATING ;30819
TWO_OPT_GENERATION RANDOM_SELECTION NEAREST_NEIGHBOUR NEAREST_NEIGHBOUR ELITE_PROTECTION ;30148
HYBRID_TWO_OPT_AND_RANDOM ROULETTE_SELECTION NEAREST_NEIGHBOUR INVERT RANDOM_ELIMINATING ;31267
TWO_OPT_GENERATION TOURNAMENT_SELECTION CX INVERT ELITE_PROTECTION ;31536
HYBRID_TWO_OPT_AND_RANDOM ROULETTE_SELECTION CX2 RANDOM ELITE_PROTECTION ;30991
RANDOM_GENERATION ROULETTE_SELECTION CX2 RANDOM RANDOM_ELIMINATING ;280326
HYBRID_TWO_OPT_AND_RANDOM RANDOM_SELECTION NEAREST_NEIGHBOUR INVERT AGE_ELIMINATING ;30741
TWO_OPT_GENERATION TOURNAMENT_SELECTION CX RANDOM ELITE_PROTECTION ;31065
INSERT_GENERATION RANDOM_SELECTION CX RANDOM AGE_ELIMINATING ;32277
INSERT_GENERATION RANDOM_SELECTION OX RANDOM RANDOM_ELIMINATING ;157443
HYBRID_TWO_OPT_AND_RANDOM ROULETTE_SELECTION PMX RANDOM AGE_ELIMINATING ;30874
RANDOM_GENERATION ROULETTE_SELECTION OX INSERT RANDOM_ELIMINATING ;138689
INSERT_GENERATION TOURNAMENT_SELECTION OX INVERT RANDOM_ELIMINATING ;95980
TWO_OPT_GENERATION TOURNAMENT_SELECTION CX NEAREST_NEIGHBOUR RANDOM_ELIMINATING ;140438
TWO_OPT_GENERATION ROULETTE_SELECTION CX2 RANDOM ELITE_PROTECTION ;31573
INSERT_GENERATION TOURNAMENT_SELECTION OX INSERT RANDOM_ELIMINATING ;167776
INSERT_GENERATION RANDOM_SELECTION NEAREST_NEIGHBOUR NEAREST_NEIGHBOUR ELITE_PROTECTION ;30116
HYBRID_TWO_OPT_AND_RANDOM TOURNAMENT_SELECTION NEAREST_NEIGHBOUR NEAREST_NEIGHBOUR ELITE_PROTECTION ;29984
TWO_OPT_GENERATION ROULETTE_SELECTION CX2 RANDOM AGE_ELIMINATING ;32356
RANDOM_GENERATION TOURNAMENT_SELECTION OX INVERT AGE_ELIMINATING ;31303
HYBRID_TWO_OPT_AND_RANDOM TOURNAMENT_SELECTION CX RANDOM ELITE_PROTECTION ;30766
HYBRID_TWO_OPT_AND_RANDOM TOURNAMENT_SELECTION CX2 INVERT AGE_ELIMINATING ;30489
TWO_OPT_GENERATION ROULETTE_SELECTION NEAREST_NEIGHBOUR INSERT AGE_ELIMINATING ;31863
INSERT_GENERATION TOURNAMENT_SELECTION PMX INVERT ELITE_PROTECTION ;31380
HYBRID_TWO_OPT_AND_RANDOM RANDOM_SELECTION NEAREST_NEIGHBOUR NEAREST_NEIGHBOUR RANDOM_ELIMINATING ;31859
TWO_OPT_GENERATION RANDOM_SELECTION OX NEAREST_NEIGHBOUR RANDOM_ELIMINATING ;137807
TWO_OPT_GENERATION RANDOM_SELECTION OX RANDOM ELITE_PROTECTION ;30221
INSERT_GENERATION ROULETTE_SELECTION PMX INVERT AGE_ELIMINATING ;30234
HYBRID_TWO_OPT_AND_RANDOM ROULETTE_SELECTION PMX INVERT AGE_ELIMINATING ;30220
HYBRID_TWO_OPT_AND_RANDOM RANDOM_SELECTION OX RANDOM RANDOM_ELIMINATING ;142103
INSERT_GENERATION TOURNAMENT_SELECTION PMX INSERT RANDOM_ELIMINATING ;170319
TWO_OPT_GENERATION ROULETTE_SELECTION CX2 INVERT RANDOM_ELIMINATING ;133353
TWO_OPT_GENERATION RANDOM_SELECTION NEAREST_NEIGHBOUR INSERT RANDOM_ELIMINATING ;31962
INSERT_GENERATION ROULETTE_SELECTION NEAREST_NEIGHBOUR INSERT ELITE_PROTECTION ;29877
TWO_OPT_GENERATION ROULETTE_SELECTION CX2 INSERT RANDOM_ELIMINATING ;137125
RANDOM_GENERATION TOURNAMENT_SELECTION OX INSERT RANDOM_ELIMINATING ;209761
TWO_OPT_GENERATION TOURNAMENT_SELECTION CX INSERT ELITE_PROTECTION ;38401
HYBRID_TWO_OPT_AND_RANDOM TOURNAMENT_SELECTION NEAREST_NEIGHBOUR INVERT ELITE_PROTECTION ;29536
TWO_OPT_GENERATION TOURNAMENT_SELECTION CX2 RANDOM ELITE_PROTECTION ;37329
HYBRID_TWO_OPT_AND_RANDOM TOURNAMENT_SELECTION PMX INSERT RANDOM_ELIMINATING ;144064
RANDOM_GENERATION ROULETTE_SELECTION CX2 INVERT AGE_ELIMINATING ;30324
HYBRID_TWO_OPT_AND_RANDOM TOURNAMENT_SELECTION CX2 INVERT ELITE_PROTECTION ;30839
RANDOM_GENERATION ROULETTE_SELECTION PMX INSERT ELITE_PROTECTION ;35826
HYBRID_TWO_OPT_AND_RANDOM TOURNAMENT_SELECTION CX2 RANDOM ELITE_PROTECTION ;40925
HYBRID_TWO_OPT_AND_RANDOM ROULETTE_SELECTION CX2 INVERT RANDOM_ELIMINATING ;134478
RANDOM_GENERATION TOURNAMENT_SELECTION OX INVERT RANDOM_ELIMINATING ;104078
RANDOM_GENERATION ROULETTE_SELECTION OX RANDOM RANDOM_ELIMINATING ;106216
